scoreValid,scoreTest,loss,params,iteration,train_time
0.729862077811857,0.7763212882115483,0.27013792218814303,"{'boosting_type': 'dart', 'colsample_bytree': 0.7089171047885807, 'learning_rate': 0.0001942977535469433, 'max_depth': 15, 'min_child_samples': 125, 'n_estimators': 2330, 'num_leaves': 115, 'objective': 'binary', 'reg_alpha': 0.39809279833471134, 'reg_lambda': 0.015795152115638977, 'scale_pos_weight': 119.625, 'subsample': 0.794098524286412}",15,112.62911034420267
0.7039094206219725,0.7261439012679388,0.2960905793780275,"{'boosting_type': 'goss', 'colsample_bytree': 0.6263213846083081, 'learning_rate': 0.00012311955991778896, 'max_depth': 12, 'min_child_samples': 335, 'n_estimators': 1187, 'num_leaves': 2, 'objective': 'binary', 'reg_alpha': 0.9981770687340998, 'reg_lambda': 0.5227446073091209, 'scale_pos_weight': 79.75, 'subsample': 1.0}",16,13.117684750268154
0.7638957722653104,0.772740205928903,0.23610422773468964,"{'boosting_type': 'dart', 'colsample_bytree': 0.7908839050290684, 'learning_rate': 0.0009176621323311392, 'max_depth': 19, 'min_child_samples': 220, 'n_estimators': 2090, 'num_leaves': 4, 'objective': 'binary', 'reg_alpha': 0.29800301126921547, 'reg_lambda': 0.8708441550909621, 'scale_pos_weight': 79.75, 'subsample': 0.5141766915811534}",17,29.974873888024604
0.7685045000084729,0.7716798854764996,0.23149549999152708,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9726536565148673, 'learning_rate': 0.00020663193895886995, 'max_depth': 3, 'min_child_samples': 45, 'n_estimators': 1109, 'num_leaves': 148, 'objective': 'binary', 'reg_alpha': 0.11259725197763759, 'reg_lambda': 0.11650607400150148, 'scale_pos_weight': 79.75, 'subsample': 0.7866886201364411}",18,43.15539072057504
0.76595079896782,0.7844304056337027,0.23404920103217997,"{'boosting_type': 'dart', 'colsample_bytree': 0.7407188219534001, 'learning_rate': 4.503289321334723e-05, 'max_depth': 25, 'min_child_samples': 465, 'n_estimators': 1020, 'num_leaves': 66, 'objective': 'binary', 'reg_alpha': 0.22070736570041416, 'reg_lambda': 0.5079811293434632, 'scale_pos_weight': 79.75, 'subsample': 0.6079784842791582}",19,74.46807403603634
0.7634620303211959,0.7700638415165473,0.23653796967880414,"{'boosting_type': 'goss', 'colsample_bytree': 0.973476981307434, 'learning_rate': 0.00356410356064617, 'max_depth': 9, 'min_child_samples': 215, 'n_estimators': 1688, 'num_leaves': 6, 'objective': 'binary', 'reg_alpha': 0.2671617547479851, 'reg_lambda': 0.6922596750733757, 'scale_pos_weight': 79.75, 'subsample': 1.0}",20,31.820077479572774
0.7469771577896045,0.7181837177458075,0.2530228422103955,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9454689039589178, 'learning_rate': 0.01966520574647873, 'max_depth': 2, 'min_child_samples': 430, 'n_estimators': 1454, 'num_leaves': 131, 'objective': 'binary', 'reg_alpha': 0.01914317395115936, 'reg_lambda': 0.017854422925134963, 'scale_pos_weight': 39.875, 'subsample': 0.9553717165700886}",21,22.5270551721012
0.6317257036015437,0.626487116106201,0.3682742963984563,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8699782490288355, 'learning_rate': 0.01412475607310196, 'max_depth': 1, 'min_child_samples': 420, 'n_estimators': 2453, 'num_leaves': 120, 'objective': 'binary', 'reg_alpha': 0.1301571116682187, 'reg_lambda': 0.27773506595489517, 'scale_pos_weight': 39.875, 'subsample': 0.8243376334228879}",22,16.670677832988304
0.6634275097616579,0.733094890900361,0.3365724902383421,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9462480542971096, 'learning_rate': 0.17184729163950538, 'max_depth': 4, 'min_child_samples': 65, 'n_estimators': 1420, 'num_leaves': 147, 'objective': 'binary', 'reg_alpha': 0.1701915350477331, 'reg_lambda': 0.0783430018444274, 'scale_pos_weight': 39.875, 'subsample': 0.5199138762674174}",23,97.66412642914315
0.6833367686620658,0.717676897906923,0.31666323133793417,"{'boosting_type': 'goss', 'colsample_bytree': 0.999764353956085, 'learning_rate': 0.17015049551252864, 'max_depth': 5, 'min_child_samples': 410, 'n_estimators': 1610, 'num_leaves': 102, 'objective': 'binary', 'reg_alpha': 0.023481068239365133, 'reg_lambda': 0.9956656516063558, 'scale_pos_weight': 39.875, 'subsample': 1.0}",24,96.77268580749433
0.764434220796464,0.7694903348567568,0.23556577920353605,"{'boosting_type': 'goss', 'colsample_bytree': 0.922633039924143, 'learning_rate': 0.011079499293537045, 'max_depth': 3, 'min_child_samples': 375, 'n_estimators': 2193, 'num_leaves': 132, 'objective': 'binary', 'reg_alpha': 0.3067887688462248, 'reg_lambda': 0.2910781485633724, 'scale_pos_weight': 159.5, 'subsample': 1.0}",25,26.373007128724794
0.772792132297407,0.7806470399943094,0.22720786770259305,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8634069474063238, 'learning_rate': 0.0008976885539248374, 'max_depth': 12, 'min_child_samples': 465, 'n_estimators': 2307, 'num_leaves': 125, 'objective': 'binary', 'reg_alpha': 0.0763642843509498, 'reg_lambda': 0.06256008636566848, 'scale_pos_weight': 39.875, 'subsample': 0.8009740091644111}",26,61.842622071861115
0.7484149085647054,0.7925306314797361,0.2515850914352946,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8660024280937252, 'learning_rate': 0.0011707378800346112, 'max_depth': 18, 'min_child_samples': 185, 'n_estimators': 1527, 'num_leaves': 128, 'objective': 'binary', 'reg_alpha': 0.001016237127050637, 'reg_lambda': 0.06177775441275492, 'scale_pos_weight': 39.875, 'subsample': 0.8130653938594167}",27,83.0959553548505
0.762263975425702,0.7858130457204844,0.237736024574298,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9693432494522258, 'learning_rate': 0.0005496396280087541, 'max_depth': 7, 'min_child_samples': 75, 'n_estimators': 1899, 'num_leaves': 149, 'objective': 'binary', 'reg_alpha': 0.19956421996604332, 'reg_lambda': 0.15156616491015704, 'scale_pos_weight': 39.875, 'subsample': 0.8257926578658364}",28,80.397378456752
0.7591237097744731,0.7875068909714937,0.24087629022552692,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8871634121594141, 'learning_rate': 0.00075197709382688, 'max_depth': 29, 'min_child_samples': 365, 'n_estimators': 1867, 'num_leaves': 122, 'objective': 'binary', 'reg_alpha': 0.08136330581158731, 'reg_lambda': 0.0010433448874633267, 'scale_pos_weight': 159.5, 'subsample': 0.7560676933503432}",29,75.54895372370152
0.7694198798653853,0.7815228602422066,0.2305801201346147,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8440280287404427, 'learning_rate': 6.893998595348963e-05, 'max_depth': 14, 'min_child_samples': 485, 'n_estimators': 1988, 'num_leaves': 143, 'objective': 'binary', 'reg_alpha': 0.06964249322043098, 'reg_lambda': 0.08894028223721444, 'scale_pos_weight': 39.875, 'subsample': 0.9057799673287592}",30,153.99272703931342
